x,x,x,x,x,x,x,x,x,x,48-48-48,48-48-48,48-48-48,48-48-48,48-48-48,48-48-48,x,x,x,x,x,x,x
x,x,x,x,x,x,x,x,48-48-48,48-48-48,x,x,x,x,x,x,48-48-48,48-48-48,x,x,x,x,x
x,x,x,x,x,x,x,48-48-48,x,x,x,x,x,x,x,x,x,x,48-48-48,x,x,x,x
x,x,x,x,x,x,48-48-48,x,x,x,x,x,x,x,x,x,x,x,x,48-48-48,x,x,x
x,x,x,x,x,x,48-48-48,x,x,x,x,x,x,x,x,x,x,x,x,48-48-48,x,x,x
x,x,x,x,x,48-48-48,x,x,x,x,x,x,x,x,x,x,x,x,x,x,48-48-48,x,x
x,x,x,x,x,48-48-48,x,x,x,x,x,x,x,x,x,x,x,x,x,x,48-48-48,x,x
x,x,x,x,x,48-48-48,x,x,x,x,x,x,x,x,x,x,x,x,x,x,48-48-48,x,x
x,x,x,x,x,48-48-48,x,x,x,x,x,x,x,x,x,x,x,x,x,x,48-48-48,x,x
x,x,x,x,x,48-48-48,x,x,x,x,x,x,x,x,x,x,x,x,x,x,48-48-48,x,x
48-48-48,48-48-48,x,x,x,x,48-48-48,x,x,x,x,x,x,x,x,x,x,x,x,x,48-48-48,x,x
48-48-48,x,48-48-48,x,x,x,48-48-48,x,x,x,x,x,x,x,x,x,x,x,x,48-48-48,x,x,x
x,48-48-48,x,48-48-48,x,x,x,48-48-48,x,x,x,x,x,x,x,x,x,x,x,48-48-48,x,x,x
x,x,48-48-48,x,48-48-48,x,x,x,48-48-48,x,x,x,x,x,x,x,x,x,x,48-48-48,x,x,x
x,x,x,48-48-48,x,48-48-48,x,48-48-48,x,48-48-48,x,x,x,x,x,x,x,x,48-48-48,x,x,x,x
x,x,x,x,48-48-48,48-48-48,48-48-48,x,x,x,48-48-48,48-48-48,x,x,x,x,x,48-48-48,x,x,x,x,x
x,x,x,x,x,48-48-48,x,x,x,x,x,x,48-48-48,48-48-48,48-48-48,48-48-48,48-48-48,x,48-48-48,x,x,x,x
x,x,x,x,x,48-48-48,x,x,x,x,48-48-48,x,x,x,x,x,x,x,x,48-48-48,x,x,x
x,x,x,x,48-48-48,x,48-48-48,x,x,x,48-48-48,x,x,x,x,x,x,x,x,48-48-48,x,x,x
x,x,x,x,48-48-48,x,x,x,x,48-48-48,x,48-48-48,48-48-48,x,x,x,x,x,48-48-48,48-48-48,x,x,x
x,x,x,48-48-48,x,x,x,x,48-48-48,x,x,x,x,x,x,x,x,x,x,48-48-48,48-48-48,x,x
x,x,x,48-48-48,x,x,x,x,48-48-48,48-48-48,x,x,x,x,x,x,x,x,x,48-48-48,48-48-48,x,x
x,x,x,48-48-48,x,x,x,48-48-48,x,x,48-48-48,x,x,x,x,x,x,x,x,48-48-48,48-48-48,x,x
x,x,48-48-48,x,x,x,48-48-48,x,x,x,48-48-48,48-48-48,x,x,x,48-48-48,48-48-48,48-48-48,x,48-48-48,x,48-48-48,x
x,x,48-48-48,x,x,x,48-48-48,x,x,x,48-48-48,x,48-48-48,x,48-48-48,x,x,x,48-48-48,48-48-48,x,48-48-48,x
x,x,48-48-48,x,x,x,48-48-48,x,x,48-48-48,x,x,x,x,48-48-48,x,x,x,48-48-48,48-48-48,x,48-48-48,x
x,x,48-48-48,x,x,x,x,48-48-48,x,48-48-48,x,x,x,x,x,48-48-48,48-48-48,48-48-48,x,48-48-48,x,48-48-48,x
x,x,48-48-48,x,x,x,x,48-48-48,48-48-48,x,x,x,x,x,x,x,x,x,x,48-48-48,x,x,48-48-48
x,x,48-48-48,x,x,x,48-48-48,x,48-48-48,x,x,x,x,x,48-48-48,x,48-48-48,x,x,48-48-48,48-48-48,x,48-48-48
x,x,x,48-48-48,x,x,48-48-48,48-48-48,48-48-48,x,x,x,x,x,48-48-48,48-48-48,x,x,x,48-48-48,48-48-48,x,48-48-48
x,x,x,x,48-48-48,48-48-48,48-48-48,48-48-48,x,x,x,x,x,x,48-48-48,x,x,x,x,48-48-48,48-48-48,48-48-48,48-48-48
x,x,x,x,x,x,48-48-48,x,x,x,x,x,x,48-48-48,48-48-48,x,x,x,x,48-48-48,x,x,x
x,x,x,x,x,x,48-48-48,x,48-48-48,x,48-48-48,x,x,48-48-48,48-48-48,x,x,48-48-48,x,48-48-48,x,x,x
x,x,x,x,x,x,48-48-48,x,48-48-48,48-48-48,x,x,48-48-48,x,48-48-48,x,x,48-48-48,48-48-48,48-48-48,x,x,x
x,x,x,x,x,48-48-48,x,x,x,x,x,48-48-48,x,x,48-48-48,x,x,x,x,48-48-48,x,x,x
x,x,x,x,x,48-48-48,x,x,x,x,x,48-48-48,x,x,48-48-48,x,x,x,x,48-48-48,x,x,x
x,x,x,x,x,48-48-48,x,x,x,x,48-48-48,x,x,x,48-48-48,x,x,x,x,48-48-48,x,x,x
x,x,x,x,48-48-48,x,x,x,x,x,48-48-48,x,x,x,48-48-48,x,x,x,x,x,48-48-48,x,x
x,x,x,x,48-48-48,x,x,x,x,48-48-48,x,x,x,x,x,48-48-48,x,x,x,x,x,48-48-48,x
x,x,x,x,48-48-48,x,x,x,x,48-48-48,x,x,x,x,x,x,48-48-48,48-48-48,48-48-48,48-48-48,48-48-48,48-48-48,x
x,x,x,x,48-48-48,48-48-48,48-48-48,48-48-48,48-48-48,48-48-48,x,x,x,x,x,x,x,x,x,x,x,x,x